Period,CPI Y-o-Y change
1968-02-01,3.95
1968-01-01,3.65
1967-12-01,3.04
1967-11-01,2.74
1967-10-01,2.43
1967-09-01,2.75
1967-08-01,2.45
1967-07-01,2.77
1967-06-01,2.78
1967-05-01,2.79
1967-04-01,2.48
1967-03-01,2.8
1967-02-01,2.81
1967-01-01,3.46
1966-12-01,3.46
1966-11-01,3.79
1966-10-01,3.79
1966-09-01,3.48
1966-08-01,3.48
1966-07-01,2.85
1966-06-01,2.53
1966-05-01,2.87
1966-04-01,2.87
1966-03-01,2.56
1966-02-01,2.56
1966-01-01,1.92
1965-12-01,1.92
1965-11-01,1.6
1965-10-01,1.93
1965-09-01,1.61
1965-08-01,1.94
1965-07-01,1.61
1965-06-01,1.94
1965-05-01,1.62
1965-04-01,1.62
1965-03-01,1.29
1965-02-01,0.97
1965-01-01,0.97
1964-12-01,0.97
1964-11-01,1.3
1964-10-01,0.97
1964-09-01,1.3
1964-08-01,0.98
1964-07-01,1.3
1964-06-01,1.31
1964-05-01,1.31
1964-04-01,1.31
1964-03-01,1.31
1964-02-01,1.64
1964-01-01,1.64
1963-12-01,1.64
1963-11-01,1.32
1963-10-01,1.32
1963-09-01,0.99
1963-08-01,1.32
1963-07-01,1.32
1963-06-01,1.32
1963-05-01,0.99
1963-04-01,0.99
1963-03-01,1.33
1963-02-01,1
1963-01-01,1.33
1962-12-01,1.33
1962-11-01,1.33
1962-10-01,1.33
1962-09-01,1.33
1962-08-01,1.34
1962-07-01,1
1962-06-01,1.34
1962-05-01,1.34
1962-04-01,1.34
1962-03-01,1.01
1962-02-01,1.01
1962-01-01,0.67
1961-12-01,0.67
1961-11-01,0.67
1961-10-01,0.67
1961-09-01,1.35
1961-08-01,1.01
1961-07-01,1.35
1961-06-01,0.68
1961-05-01,1.02
1961-04-01,1.02
1961-03-01,1.36
1961-02-01,1.36
1961-01-01,1.71
1960-12-01,1.36
1960-11-01,1.36
1960-10-01,1.36
1960-09-01,1.02
1960-08-01,1.37
1960-07-01,1.37
1960-06-01,1.72
1960-05-01,1.72
1960-04-01,1.72
1960-03-01,1.73
1960-02-01,1.73
1960-01-01,1.03
1959-12-01,1.73
1959-11-01,1.38
1959-10-01,1.73
1959-09-01,1.38
1959-08-01,1.04
1959-07-01,0.69
1959-06-01,0.69
1959-05-01,0.35
1959-04-01,0.35
1959-03-01,0.35
1959-02-01,1.05
1959-01-01,1.4
1958-12-01,1.76
1958-11-01,2.11
1958-10-01,2.12
1958-09-01,2.12
1958-08-01,2.12
1958-07-01,2.47
1958-06-01,2.85
1958-05-01,3.21
1958-04-01,3.58
1958-03-01,3.6
1958-02-01,3.25
1958-01-01,3.62
1957-12-01,2.9
1957-11-01,3.27
1957-10-01,2.91
1957-09-01,3.28
1957-08-01,3.66
1957-07-01,3.28
1957-06-01,3.31
1957-05-01,3.7
1957-04-01,3.72
1957-03-01,3.73
1957-02-01,3.36
1957-01-01,2.99
1956-12-01,2.99
1956-11-01,2.23
1956-10-01,2.23
1956-09-01,1.86
1956-08-01,1.87
1956-07-01,2.24
1956-06-01,1.87
1956-05-01,1.12
1956-04-01,0.75
1956-03-01,0.37
1956-02-01,0.37
1956-01-01,0.37
1955-12-01,0.37
1955-11-01,0.37
1955-10-01,0.37
1955-09-01,0.37
1955-08-01,-0.37
1955-07-01,-0.37
1955-06-01,-0.74
1955-05-01,-0.74
1955-04-01,-0.37
1955-03-01,-0.74
1955-02-01,-0.74
1955-01-01,-0.74
1954-12-01,-0.74
1954-11-01,-0.37
1954-10-01,-0.74
1954-09-01,-0.37
1954-08-01,0
1954-07-01,0.37
1954-06-01,0.37
1954-05-01,0.75
1954-04-01,0.75
1954-03-01,1.13
1954-02-01,1.51
1954-01-01,1.13
1953-12-01,0.75
1953-11-01,0.75
1953-10-01,1.12
1953-09-01,0.75
1953-08-01,0.75
1953-07-01,0.37
1953-06-01,1.13
1953-05-01,1.14
1953-04-01,0.76
1953-03-01,1.14
1953-02-01,0.76
1953-01-01,0.38
1952-12-01,0.75
1952-11-01,1.14
1952-10-01,1.91
1952-09-01,2.3
1952-08-01,3.09
1952-07-01,3.09
1952-06-01,2.32
1952-05-01,1.93
1952-04-01,2.33
1952-03-01,1.94
1952-02-01,2.33
1952-01-01,4.33
1951-12-01,6
1951-11-01,6.88
1951-10-01,6.5
1951-09-01,6.97
1951-08-01,6.58
1951-07-01,7.47
1951-06-01,8.82
1951-05-01,9.28
1951-04-01,9.32
1951-03-01,9.32
1951-02-01,9.36
1951-01-01,8.09
1950-12-01,5.93
1950-11-01,3.78
1950-10-01,3.8
1950-09-01,2.09
1950-08-01,2.1
1950-07-01,1.69
1950-06-01,-0.42
1950-05-01,-0.42
1950-04-01,-1.26
1950-03-01,-0.84
1950-02-01,-1.26
1950-01-01,-2.08
1949-12-01,-2.07
1949-11-01,-1.65
1949-10-01,-2.87
1949-09-01,-2.45
1949-08-01,-2.86
1949-07-01,-2.87
1949-06-01,-0.83
1949-05-01,-0.42
1949-04-01,0.42
1949-03-01,1.71
1949-02-01,1.28
1949-01-01,1.27
1948-12-01,2.99
1948-11-01,4.76
1948-10-01,6.09
1948-09-01,6.52
1948-08-01,8.89
1948-07-01,9.91
1948-06-01,9.55
1948-05-01,9.13
1948-04-01,8.68
1948-03-01,6.85
1948-02-01,9.3
1948-01-01,10.23
1947-12-01,8.84
1947-11-01,8.45
1947-10-01,10.58
1947-09-01,12.75
1947-08-01,11.39
1947-07-01,12.12
1947-06-01,17.65
1947-05-01,18.38
1947-04-01,19.02
1947-03-01,19.67
1947-02-01,18.78
1947-01-01,18.13
1946-12-01,18.13
1946-11-01,17.68
1946-10-01,14.92
1946-09-01,12.71
1946-08-01,11.6
1946-07-01,9.39
1946-06-01,3.31
1946-05-01,3.35
1946-04-01,3.37
1946-03-01,2.81
1946-02-01,1.69
1946-01-01,2.25
1945-12-01,2.25
1945-11-01,2.26
1945-10-01,2.26
1945-09-01,2.26
1945-08-01,2.26
1945-07-01,2.26
1945-06-01,2.84
1945-05-01,2.29
1945-04-01,1.71
1945-03-01,2.3
1945-02-01,2.3
1945-01-01,2.3
1944-12-01,2.3
1944-11-01,1.72
1944-10-01,1.72
1944-09-01,1.72
1944-08-01,2.31
1944-07-01,1.72
1944-06-01,0.57
1944-05-01,0
1944-04-01,0.57
1944-03-01,1.16
1944-02-01,2.96
1944-01-01,2.96
1943-12-01,2.96
1943-11-01,3.57
1943-10-01,4.19
1943-09-01,5.45
1943-08-01,4.85
1943-07-01,6.1
1943-06-01,7.36
1943-05-01,7.36
1943-04-01,8.07
1943-03-01,7.5
1943-02-01,6.96
1943-01-01,7.64
1942-12-01,9.03
1942-11-01,9.09
1942-10-01,9.15
1942-09-01,9.27
1942-08-01,10.74
1942-07-01,11.56
1942-06-01,10.88
1942-05-01,13.19
1942-04-01,12.59
1942-03-01,12.68
1942-02-01,12.06
1942-01-01,11.35
1941-12-01,9.93
1941-11-01,10
1941-10-01,9.29
1941-09-01,7.86
1941-08-01,6.43
1941-07-01,5
1941-06-01,4.26
1941-05-01,2.86
1941-04-01,2.14
1941-03-01,1.43
1941-02-01,0.71
1941-01-01,1.44
1940-12-01,0.71
1940-11-01,0
1940-10-01,0
1940-09-01,-0.71
1940-08-01,1.45
1940-07-01,1.45
1940-06-01,2.17
1940-05-01,1.45
1940-04-01,1.45
1940-03-01,0.72
1940-02-01,0.72
1940-01-01,-0.71
1939-12-01,0
1939-11-01,0
1939-10-01,0
1939-09-01,0
1939-08-01,-2.13
1939-07-01,-2.13
1939-06-01,-2.13
1939-05-01,-2.13
1939-04-01,-2.82
1939-03-01,-1.42
1939-02-01,-1.42
1939-01-01,-1.41
1938-12-01,-2.78
1938-11-01,-3.45
1938-10-01,-4.11
1938-09-01,-3.42
1938-08-01,-2.76
1938-07-01,-2.76
1938-06-01,-2.08
1938-05-01,-2.08
1938-04-01,-0.7
1938-03-01,-0.7
1938-02-01,0
1938-01-01,0.71
1937-12-01,2.86
1937-11-01,3.57
1937-10-01,4.29
1937-09-01,4.29
1937-08-01,3.57
1937-07-01,4.32
1937-06-01,4.35
1937-05-01,5.11
1937-04-01,4.38
1937-03-01,3.65
1937-02-01,2.17
1937-01-01,2.17
1936-12-01,1.45
1936-11-01,1.45
1936-10-01,2.19
1936-09-01,2.19
1936-08-01,2.19
1936-07-01,1.46
1936-06-01,0.73
1936-05-01,-0.72
1936-04-01,-0.72
1936-03-01,0
1936-02-01,0.73
1936-01-01,1.47
1935-12-01,2.99
1935-11-01,2.22
1935-10-01,1.48
1935-09-01,0.74
1935-08-01,2.24
1935-07-01,2.24
1935-06-01,2.24
1935-05-01,3.76
1935-04-01,3.76
1935-03-01,3.01
1935-02-01,3.01
1935-01-01,3.03
1934-12-01,1.52
1934-11-01,2.27
1934-10-01,2.27
1934-09-01,3.03
1934-08-01,1.52
1934-07-01,2.29
1934-06-01,5.51
1934-05-01,5.56
1934-04-01,5.56
1934-03-01,5.56
1934-02-01,4.72
1934-01-01,2.33
1933-12-01,0.76
1933-11-01,0
1933-10-01,-0.75
1933-09-01,-1.49
1933-08-01,-2.22
1933-07-01,-3.68
1933-06-01,-6.62
1933-05-01,-8.03
1933-04-01,-9.35
1933-03-01,-10
1933-02-01,-9.93
1933-01-01,-9.79
1932-12-01,-10.27
1932-11-01,-10.2
1932-10-01,-10.74
1932-09-01,-10.67
1932-08-01,-10.6
1932-07-01,-9.93
1932-06-01,-9.93
1932-05-01,-10.46
1932-04-01,-10.32
1932-03-01,-10.26
1932-02-01,-10.19
1932-01-01,-10.06
1931-12-01,-9.32
1931-11-01,-10.37
1931-10-01,-9.7
1931-09-01,-9.64
1931-08-01,-8.48
1931-07-01,-9.04
1931-06-01,-10.12
1931-05-01,-9.47
1931-04-01,-8.82
1931-03-01,-7.69
1931-02-01,-7.65
1931-01-01,-7.02
1930-12-01,-6.4
1930-11-01,-5.2
1930-10-01,-4.62
1930-09-01,-4.05
1930-08-01,-4.62
1930-07-01,-4.05
1930-06-01,-1.75
1930-05-01,-0.59
1930-04-01,0.59
1930-03-01,-0.59
1930-02-01,-0.58
1930-01-01,0
1929-12-01,0.58
1929-11-01,0.58
1929-10-01,0.58
1929-09-01,0
1929-08-01,1.17
1929-07-01,1.17
1929-06-01,0
1929-05-01,-1.16
1929-04-01,-1.17
1929-03-01,-0.58
1929-02-01,0
1929-01-01,-1.16
1928-12-01,-1.16
1928-11-01,-0.58
1928-10-01,-1.15
1928-09-01,0
1928-08-01,-0.58
1928-07-01,-1.16
1928-06-01,-2.84
1928-05-01,-1.15
1928-04-01,-1.16
1928-03-01,-1.16
1928-02-01,-1.72
1928-01-01,-1.14
1927-12-01,-2.26
1927-11-01,-2.26
1927-10-01,-1.14
1927-09-01,-1.14
1927-08-01,-1.15
1927-07-01,-1.14
1927-06-01,-0.56
1927-05-01,-2.25
1927-04-01,-3.35
1927-03-01,-2.81
1927-02-01,-2.79
1927-01-01,-2.23
1926-12-01,-1.12
1926-11-01,-1.67
1926-10-01,-0.56
1926-09-01,-1.13
1926-08-01,-1.69
1926-07-01,-1.13
1926-06-01,1.14
1926-05-01,2.89
1926-04-01,4.07
1926-03-01,2.89
1926-02-01,4.07
1926-01-01,3.47
1925-12-01,3.47
1925-11-01,4.65
1925-10-01,2.91
1925-09-01,3.51
1925-08-01,4.12
1925-07-01,3.51
1925-06-01,2.94
1925-05-01,1.76
1925-04-01,1.18
1925-03-01,1.17
1925-02-01,0
1925-01-01,0
1924-12-01,0
1924-11-01,-0.58
1924-10-01,-0.58
1924-09-01,-0.58
1924-08-01,-0.58
1924-07-01,-0.58
1924-06-01,0
1924-05-01,0.59
1924-04-01,0.59
1924-03-01,1.79
1924-02-01,2.38
1924-01-01,2.98
1923-12-01,2.37
1923-11-01,2.98
1923-10-01,3.59
1923-09-01,3.61
1923-08-01,3.01
1923-07-01,2.38
1923-06-01,1.8
1923-05-01,1.2
1923-04-01,1.2
1923-03-01,0.6
1923-02-01,-0.59
1923-01-01,-0.59
1922-12-01,-2.31
1922-11-01,-3.45
1922-10-01,-4.57
1922-09-01,-5.14
1922-08-01,-6.21
1922-07-01,-5.08
1922-06-01,-5.11
1922-05-01,-5.65
1922-04-01,-7.73
1922-03-01,-8.74
1922-02-01,-8.15
1922-01-01,-11.05
1921-12-01,-10.82
1921-11-01,-12.12
1921-10-01,-12.06
1921-09-01,-12.5
1921-08-01,-12.81
1921-07-01,-14.9
1921-06-01,-15.79
1921-05-01,-14.08
1921-04-01,-10.84
1921-03-01,-7.11
1921-02-01,-5.64
1921-01-01,-1.55
1920-12-01,2.65
1920-11-01,7.03
1920-10-01,9.94
1920-09-01,12.36
1920-08-01,14.69
1920-07-01,19.54
1920-06-01,23.67
1920-05-01,21.89
1920-04-01,21.56
1920-03-01,20.12
1920-02-01,20.37
1920-01-01,16.97
1919-12-01,14.55
1919-11-01,13.5
1919-10-01,13.13
1919-09-01,13.38
1919-08-01,14.94
1919-07-01,15.23
1919-06-01,14.97
1919-05-01,16.55
1919-04-01,17.61
1919-03-01,17.14
1919-02-01,14.89
1919-01-01,17.86
1918-12-01,20.44
1918-11-01,20.74
1918-10-01,18.52
1918-09-01,18.05
1918-08-01,18.46
1918-07-01,17.97
1918-06-01,13.08
1918-05-01,13.28
1918-04-01,12.7
1918-03-01,16.67
1918-02-01,17.5
1918-01-01,19.66
1917-12-01,18.1
1917-11-01,17.39
1917-10-01,19.47
1917-09-01,19.82
1917-08-01,19.27
1917-07-01,18.52
1917-06-01,20.37
1917-05-01,19.63
1917-04-01,18.87
1917-03-01,14.29
1917-02-01,15.38
1917-01-01,12.5
1916-12-01,12.62
1916-11-01,11.65
1916-10-01,10.78
1916-09-01,9.9
1916-08-01,7.92
1916-07-01,6.93
1916-06-01,6.93
1916-05-01,5.94
1916-04-01,6
1916-03-01,6.06
1916-02-01,4
1916-01-01,2.97
1915-12-01,1.98
1915-11-01,0.98
1915-10-01,0.99
1915-09-01,-0.98
1915-08-01,-0.98
1915-07-01,1
1915-06-01,2.02
1915-05-01,2.02
1915-04-01,2.04
1915-03-01,0
1915-02-01,1.01
1915-01-01,1
1914-12-01,1
1914-11-01,0.99
1914-10-01,1
1914-09-01,2
1914-08-01,3.03
1914-07-01,1.01
1914-06-01,1.02
1914-05-01,2.06
1914-04-01,0
1914-03-01,1.02
1914-02-01,1.02
1914-01-01,2.04
